2025-10-04 17:20:10 | INFO | quality_checker | Verificando consistência de valor_total...
2025-10-04 17:20:11 | INFO | quality_checker | Verificando consistência de valor_iptu...
2025-10-04 17:20:12 | INFO | quality_checker | ✓ Validação concluída:
2025-10-04 17:20:12 | INFO | quality_checker |   - Registros válidos: 401458 (99.39%)
2025-10-04 17:20:12 | INFO | quality_checker |   - Registros inválidos: 2457 (0.61%)
2025-10-04 17:20:12 | INFO | quality_checker |   - Tipos de erros mais comuns:
2025-10-04 17:20:12 | INFO | quality_checker |     • valor_total_invalido: 2457 ocorrências
2025-10-04 17:20:12 | INFO | quality_checker |     • valor_iptu_invalido: 3 ocorrências
2025-10-04 17:20:51 | INFO | quality_checker | Iniciando validação de 407245 registros
2025-10-04 17:20:51 | INFO | quality_checker | Verificando completude dos campos obrigatórios...
2025-10-04 17:20:52 | INFO | quality_checker | Verificando consistência do ano...
2025-10-04 17:20:52 | INFO | quality_checker | Verificando consistência de valor_total...
2025-10-04 17:20:54 | INFO | quality_checker | Verificando consistência de valor_iptu...
2025-10-04 17:20:56 | INFO | quality_checker | ✓ Validação concluída:
2025-10-04 17:20:56 | INFO | quality_checker |   - Registros válidos: 404562 (99.34%)
2025-10-04 17:20:56 | INFO | quality_checker |   - Registros inválidos: 2683 (0.66%)
2025-10-04 17:20:56 | INFO | quality_checker |   - Tipos de erros mais comuns:
2025-10-04 17:20:56 | INFO | quality_checker |     • valor_total_invalido: 2683 ocorrências
2025-10-04 17:20:56 | INFO | quality_checker |     • valor_iptu_invalido: 4 ocorrências
2025-10-04 17:21:37 | INFO | quality_checker | Iniciando validação de 411090 registros
2025-10-04 17:21:37 | INFO | quality_checker | Verificando completude dos campos obrigatórios...
2025-10-04 17:21:38 | INFO | quality_checker | Verificando consistência do ano...
2025-10-04 17:21:38 | INFO | quality_checker | Verificando consistência de valor_total...
2025-10-04 17:21:38 | INFO | quality_checker | Verificando consistência de valor_iptu...
2025-10-04 17:21:39 | INFO | quality_checker | ✓ Validação concluída:
2025-10-04 17:21:39 | INFO | quality_checker |   - Registros válidos: 407766 (99.19%)
2025-10-04 17:21:39 | INFO | quality_checker |   - Registros inválidos: 3324 (0.81%)
