2025-10-04 17:26:12 | INFO | S3Loader | DataFrame uploaded to s3://iptu-recife-quality/year=2021/iptu_invalid_2021.parquet (2683 records)
2025-10-04 17:26:29 | INFO | S3Loader | DataFrame uploaded to s3://iptu-recife-processed/year=2021/iptu_2021.parquet (404562 records)
2025-10-04 17:26:38 | INFO | S3Loader | Bytes uploaded to s3://iptu-recife-raw/year=2022/iptu_2022.zip (13221687 bytes)
2025-10-04 17:26:48 | INFO | S3Loader | DataFrame uploaded to s3://iptu-recife-quality/year=2022/iptu_invalid_2022.parquet (3324 records)
2025-10-04 17:27:00 | INFO | S3Loader | DataFrame uploaded to s3://iptu-recife-processed/year=2022/iptu_2022.parquet (407766 records)
2025-10-04 17:27:08 | INFO | S3Loader | Bytes uploaded to s3://iptu-recife-raw/year=2023/iptu_2023.zip (13285089 bytes)
2025-10-04 17:27:15 | INFO | S3Loader | DataFrame uploaded to s3://iptu-recife-quality/year=2023/iptu_invalid_2023.parquet (3867 records)
2025-10-04 17:27:32 | INFO | S3Loader | DataFrame uploaded to s3://iptu-recife-processed/year=2023/iptu_2023.parquet (411162 records)
2025-10-04 17:27:33 | INFO | S3Loader | Bytes uploaded to s3://iptu-recife-raw/year=2024/iptu_2024.zip (33823 bytes)
2025-10-04 17:27:33 | INFO | S3Loader | DataFrame uploaded to s3://iptu-recife-quality/year=2024/iptu_invalid_2024.parquet (2 records)
2025-10-04 17:27:34 | INFO | S3Loader | DataFrame uploaded to s3://iptu-recife-processed/year=2024/iptu_2024.parquet (498 records)
2025-10-04 17:27:47 | INFO | S3Loader | DataFrame uploaded to s3://iptu-recife-processed/iptu_unificado.parquet (1625446 records)
2025-10-04 17:27:47 | INFO | S3Loader | Bytes uploaded to s3://iptu-recife-quality/quality_report.json (678 bytes)
2025-10-04 17:35:58 | INFO | S3Loader | S3Loader initialized for bucket: iptu-recife-raw
